Workload,Operation
AzureActiveDirectory,"Update device."
AzureActiveDirectory,"Add member to group."
AzureActiveDirectory,"Update StsRefreshTokenValidFrom Timestamp."
AzureActiveDirectory,"Remove service principal."
AzureActiveDirectory,"Delete application."
AzureActiveDirectory,"Add label."
AzureActiveDirectory,"Delete user."
AzureActiveDirectory,"Remove member from role."
AzureActiveDirectory,"Add user."
AzureActiveDirectory,"Add member to role."
AzureActiveDirectory,"Remove service principal credentials."
AzureActiveDirectory,"Add service principal credentials."
AzureActiveDirectory,"Add app role assignment grant to user."
AzureActiveDirectory,"Update application – Certificates and secrets management "
AzureActiveDirectory,"Add application."
AzureActiveDirectory,"Update application."
AzureActiveDirectory,"Add app role assignment to service principal."
AzureActiveDirectory,"Remove delegated permission grant."
AzureActiveDirectory,"Consent to application."
AzureActiveDirectory,"Set Company Information."
AzureActiveDirectory,"Add service principal."
AzureActiveDirectory,"Update company"
AzureActiveDirectory,"Update user."
AzureActiveDirectory,"Reset user password."
AzureActiveDirectory,UserLoginFailed
AzureActiveDirectory,UserLoggedIn
AzureActiveDirectory,"Change user license."
AzureActiveDirectory,"Add policy."
AzureActiveDirectory,"Update label."
AzureActiveDirectory,"Add delegated permission grant."
AzureActiveDirectory,"Update service principal."
AzureActiveDirectory,"Remove owner from group."
AzureActiveDirectory,"Remove member from group."
AzureActiveDirectory,"Delete group."
AzureActiveDirectory,"Update group."
AzureActiveDirectory,"Add owner to group."
AzureActiveDirectory,"Add group."
CompliancePostureManagement,MDCAssessments
CompliancePostureManagement,MDCRegulatoryComplianceAssessments
Copilot,CopilotInteraction
Exchange,"Set-AdminAuditLogConfig"
Exchange,GATFRTokenIssue
Exchange,HardDelete
Exchange,"Add-MailboxPermission"
Exchange,AddFolderPermissions
Exchange,Create
Exchange,"Install-AdminAuditLogConfig"
Exchange,MoveToDeletedItems
Exchange,ModifyFolderPermissions
Exchange,"Set-TransportConfig"
Exchange,"New-InboxRule"
Exchange,"New-UnifiedGroup"
Exchange,"Set-Mailbox"
Exchange,SoftDelete
Exchange,"Install-DataClassificationConfig"
Exchange,"Install-DefaultSharingPolicy"
Exchange,"New-ExchangeAssistanceConfig"
Exchange,MailItemsAccessed
Exchange,Update
Exchange,"Set-ExchangeAssistanceConfig"
Exchange,"Set-RecipientEnforcementProvisioningPolicy"
Exchange,"Install-ResourceConfig"
Exchange,"Set-OwaMailboxPolicy"
Exchange,"Remove-InboxRule"
Exchange,MipLabel
Exchange,Send
Exchange,"Set-MailboxPlan"
Exchange,"Enable-AddressListPaging"
Exchange,"Remove-UnifiedGroup"
Exchange,"Set-TenantObjectVersion"
Exchange,"New-Mailbox"
Exchange,"New-FolderMoveRequest"
Exchange,"Add-MailboxLocation"
Microsoft365Defender,UpdateIncidentSeverity
Microsoft365Defender,EditIncidentClassification
Microsoft365Defender,AddTagsToIncident
Microsoft365Defender,ChangeCustomDetectionRuleStatus
Microsoft365Defender,RunCustomDetection
Microsoft365Defender,UnAssignUserFromIncident
Microsoft365Defender,AssignUserToIncident
Microsoft365Defender,UpdateIncidentStatus
Microsoft365Defender,AddCommentToIncident
Microsoft365Defender,RemoveTagsFromIncident
MicrosoftDefenderForEndpoint,EditIndicator
MicrosoftDefenderForEndpoint,AddIndicator
MicrosoftDefenderForEndpoint,DownloadOffboardingPkg
MicrosoftDefenderForEndpoint,CollectInvestigationPackage
MicrosoftDefenderForEndpoint,DeleteIndicator
MicrosoftDefenderForEndpoint,SetAdvancedFeatures
MicrosoftDefenderForEndpoint,DownloadOnboardingPkg
MicrosoftDefenderForEndpoint,RunAntiVirusScan
